epoch,loss
0,1830.4066162109375
1,1132.7706298828125
2,931.9810791015625
3,815.8070678710938
4,740.1446533203125
5,683.1121826171875
6,639.9279174804688
7,609.5689697265625
8,588.334716796875
9,566.6798706054688
10,551.9901123046875
11,540.602294921875
12,528.8516235351562
13,518.58349609375
14,512.0533447265625
15,503.2734680175781
16,497.4945983886719
17,491.0414733886719
18,486.7623291015625
19,481.72119140625
20,478.09771728515625
21,474.466796875
22,471.179931640625
23,468.61614990234375
24,463.8412170410156
