epoch,loss
0,3060.5400390625
1,2168.000244140625
2,1836.7647705078125
3,1628.841064453125
4,1503.2000732421875
5,1419.751953125
6,1356.564697265625
7,1318.0499267578125
8,1283.3780517578125
9,1260.1820068359375
10,1240.8680419921875
11,1216.5257568359375
12,1206.3016357421875
13,1192.519287109375
14,1177.460693359375
15,1169.87744140625
16,1160.8408203125
17,1150.8240966796875
18,1146.799072265625
19,1137.809814453125
20,1132.7291259765625
21,1125.4373779296875
22,1121.870849609375
23,1117.2908935546875
24,1114.6522216796875
