epoch,loss
0,2969.71044921875
1,2467.8779296875
2,2280.00732421875
3,2138.78857421875
4,2030.405029296875
5,1955.6011962890625
6,1885.2486572265625
7,1833.389892578125
8,1799.6490478515625
9,1765.6973876953125
10,1739.3487548828125
11,1718.054443359375
12,1693.6986083984375
13,1680.5020751953125
14,1663.259521484375
15,1656.6326904296875
16,1636.519287109375
17,1631.2952880859375
18,1618.8050537109375
19,1611.9346923828125
20,1605.0955810546875
21,1598.6290283203125
22,1588.33203125
23,1577.90576171875
24,1579.1556396484375
25,1569.221923828125
26,1564.8392333984375
27,1561.9644775390625
28,1553.535888671875
29,1552.2559814453125
