epoch,loss
0,110.32830810546875
1,2.3284711837768555
2,2.6388676166534424
3,2.5936875343322754
4,15.880132675170898
5,2.053968667984009
6,3.096294403076172
7,2.508896827697754
8,2.5744986534118652
9,1.988038420677185
10,1.2236686944961548
11,2.6899383068084717
12,0.8884614706039429
13,0.8178437352180481
14,0.9124483466148376
15,0.4793999195098877
16,1.863057255744934
17,0.07249035686254501
18,0.11412149667739868
19,0.05664664879441261
20,0.03261222317814827
21,0.011290701106190681
22,0.0021160393953323364
23,0.0005851302412338555
24,1.792347029550001e-05
