epoch,loss
0,3242.30078125
1,2596.6123046875
2,2418.496826171875
3,2280.680419921875
4,2156.689208984375
5,2069.953125
6,1994.6650390625
7,1925.10009765625
8,1885.2508544921875
9,1839.9552001953125
10,1809.416015625
11,1783.95263671875
12,1754.55615234375
13,1738.5037841796875
14,1723.9068603515625
15,1705.0291748046875
16,1698.04833984375
17,1679.520751953125
18,1672.96923828125
19,1661.806884765625
20,1651.9901123046875
21,1641.2320556640625
22,1639.1805419921875
23,1628.979736328125
24,1623.8272705078125
25,1616.796875
26,1615.9610595703125
27,1604.371337890625
28,1601.2408447265625
29,1598.113525390625
30,1595.719482421875
31,1531.6759033203125
32,1522.5186767578125
33,1521.8822021484375
34,1520.4547119140625
35,1515.2738037109375
36,1515.3250732421875
37,1510.421142578125
38,1516.7423095703125
39,1506.5430908203125
40,1509.4788818359375
41,1510.90087890625
42,1508.3328857421875
43,1505.037109375
44,1504.110595703125
45,1504.971923828125
46,1504.8677978515625
47,1503.02099609375
48,1501.5982666015625
49,1501.8170166015625
50,1501.63232421875
51,1496.060791015625
52,1503.2860107421875
53,1496.7469482421875
54,1494.787841796875
55,1497.497314453125
56,1497.6507568359375
57,1493.467041015625
58,1494.541748046875
59,1496.2269287109375
