epoch,loss
0,2264.449462890625
1,1967.1810302734375
2,1933.0452880859375
3,1911.2860107421875
4,1899.454833984375
5,1875.0771484375
6,1864.0548095703125
7,1854.7607421875
8,1843.246337890625
9,1839.9759521484375
10,1833.5830078125
11,1829.40283203125
12,1821.4981689453125
13,1817.640380859375
14,1820.1959228515625
15,1814.7933349609375
16,1810.39697265625
17,1810.0577392578125
18,1802.6826171875
19,1804.482666015625
20,1803.741943359375
21,1793.6121826171875
22,1800.66015625
23,1794.4896240234375
24,1798.121337890625
25,1790.4814453125
26,1787.2677001953125
27,1784.80517578125
28,1790.2677001953125
29,1787.269775390625
30,1788.781982421875
31,1760.7574462890625
