epoch,loss
0,3676.1484375
1,3020.40185546875
2,2821.375244140625
3,2672.272705078125
4,2566.43408203125
5,2473.65771484375
6,2413.111328125
7,2365.663818359375
8,2318.48486328125
9,2289.76220703125
10,2260.48828125
11,2233.78369140625
12,2218.59716796875
13,2200.597900390625
14,2180.468994140625
15,2165.985595703125
16,2163.287353515625
17,2149.21630859375
18,2131.19091796875
19,2130.987548828125
20,2119.6142578125
21,2084.113525390625
22,2080.123291015625
23,2073.134521484375
24,2066.293701171875
25,2063.724853515625
26,2057.617431640625
27,2054.520751953125
28,2051.861083984375
29,2049.613525390625
30,2042.602783203125
31,2015.2158203125
32,2012.3133544921875
33,2010.3814697265625
34,2009.5211181640625
35,1996.5706787109375
36,2007.83935546875
37,1999.7835693359375
38,1996.7281494140625
39,1999.9501953125
40,1993.613037109375
41,1970.8021240234375
42,1967.2000732421875
43,1967.6419677734375
44,1961.37744140625
45,1966.5628662109375
46,1962.50830078125
47,1964.1947021484375
48,1958.186279296875
49,1962.3687744140625
50,1959.6302490234375
51,1949.555419921875
52,1945.9185791015625
53,1946.346923828125
54,1946.3455810546875
55,1944.58056640625
56,1946.0169677734375
57,1943.9437255859375
58,1945.4656982421875
59,1943.1929931640625
60,1944.0396728515625
61,1941.12548828125
62,1942.5994873046875
63,1943.1099853515625
64,1941.7064208984375
65,1940.6973876953125
66,1939.0675048828125
67,1941.2188720703125
68,1939.892822265625
69,1937.27197265625
70,1941.23876953125
71,1935.6566162109375
72,1938.96875
73,1936.715087890625
74,1937.0501708984375
75,1939.0123291015625
76,1935.927001953125
77,1935.05859375
78,1936.16357421875
79,1936.980712890625
