epoch,loss
0,2588.461023132324
1,1876.9023479614257
2,1629.6946823730468
3,1478.3082789916991
4,1378.271436706543
5,1301.8720587158202
6,1250.8114090270997
7,1214.5317148132324
8,1182.2935300598144
9,1158.1702042541503
10,1138.7813871765136
11,1122.494107635498
12,1109.7145253601075
13,1098.4414535217286
14,1085.398835784912
15,1076.5177203063965
16,1067.4027017822266
17,1059.6488909606933
18,1055.7993212890624
19,1047.3289220275879
20,1041.798483856201
21,1035.793500366211
22,1032.4088434448242
23,1025.5115793151856
24,1023.0645655212402
