epoch,loss
0,2228.31005859375
1,1599.754638671875
2,1375.0426025390625
3,1231.44580078125
4,1127.0655517578125
5,1058.7344970703125
6,1010.9280395507812
7,971.595947265625
8,947.90478515625
9,925.2805786132812
10,911.9744873046875
11,895.3734130859375
12,881.8817138671875
13,868.4304809570312
14,860.4445190429688
15,851.9796142578125
16,845.9223022460938
17,838.018798828125
18,834.2003173828125
19,826.8331298828125
20,822.9091186523438
21,819.1475219726562
22,814.1747436523438
23,815.3526000976562
24,806.14599609375
