epoch,loss
0,2693.09326171875
1,2039.1024169921875
2,1802.754638671875
3,1661.1654052734375
4,1557.426025390625
5,1486.025146484375
6,1430.8133544921875
7,1388.9959716796875
8,1351.1671142578125
9,1329.3121337890625
10,1304.03369140625
11,1290.659423828125
12,1272.3670654296875
13,1256.885498046875
14,1248.84912109375
15,1239.3990478515625
16,1228.7508544921875
17,1221.919921875
18,1212.3524169921875
19,1205.0804443359375
20,1198.1180419921875
21,1192.6759033203125
22,1188.3721923828125
23,1182.4019775390625
24,1178.9532470703125
