epoch,loss
0,3231.02197265625
1,2569.7470703125
2,2308.485107421875
3,2101.412109375
4,1939.5977783203125
5,1817.3031005859375
6,1729.40283203125
7,1662.19677734375
8,1611.4759521484375
9,1572.21484375
10,1541.2806396484375
11,1511.7830810546875
12,1489.9072265625
13,1471.97021484375
14,1454.6185302734375
15,1439.052490234375
16,1427.2852783203125
17,1416.4417724609375
18,1406.581787109375
19,1398.259765625
20,1388.771728515625
21,1357.25341796875
22,1350.309814453125
23,1345.927001953125
24,1342.566162109375
25,1334.6451416015625
26,1330.2327880859375
27,1327.7156982421875
28,1322.2376708984375
29,1320.3953857421875
30,1316.88330078125
31,1289.8211669921875
32,1287.5487060546875
33,1284.59619140625
34,1282.6265869140625
35,1280.0364990234375
36,1280.4554443359375
37,1275.194580078125
38,1275.871337890625
39,1271.765380859375
40,1271.672119140625
41,1248.40966796875
42,1244.242919921875
43,1246.4825439453125
44,1243.9188232421875
45,1242.738037109375
46,1244.1214599609375
47,1240.14599609375
48,1240.8218994140625
49,1239.7933349609375
50,1238.691162109375
51,1228.7584228515625
52,1228.103271484375
53,1227.7728271484375
54,1226.2178955078125
55,1226.4744873046875
56,1225.158203125
57,1225.6741943359375
58,1224.78759765625
59,1223.8204345703125
60,1224.630126953125
61,1222.6234130859375
62,1224.200927734375
63,1222.0540771484375
64,1221.45654296875
65,1222.6485595703125
66,1220.37841796875
67,1221.32177734375
68,1220.3702392578125
69,1219.847900390625
70,1219.6202392578125
71,1219.5186767578125
72,1220.235107421875
73,1219.1182861328125
74,1218.8873291015625
75,1219.5675048828125
76,1216.532958984375
77,1217.6220703125
78,1216.8206787109375
79,1217.530029296875
