epoch,loss
0,1906.3743896484375
1,1197.830810546875
2,984.6371459960938
3,861.5535278320312
4,779.636962890625
5,713.4239501953125
6,671.2892456054688
7,639.1130981445312
8,614.7423706054688
9,594.4472045898438
10,578.0145874023438
11,567.70263671875
12,555.0
13,544.5975341796875
14,538.94189453125
15,528.6173706054688
16,522.050048828125
17,517.6317138671875
18,510.76605224609375
19,505.3167724609375
20,502.21539306640625
21,497.66497802734375
22,492.8836364746094
23,489.60382080078125
24,486.4114990234375
