epoch,loss
0,3102.81201171875
1,2519.326904296875
2,2346.958740234375
3,2227.586181640625
4,2121.375
5,2052.330078125
6,1989.6944580078125
7,1937.0323486328125
8,1896.9439697265625
9,1871.9063720703125
10,1837.94384765625
11,1815.70166015625
12,1790.265380859375
13,1784.1043701171875
14,1759.9029541015625
15,1748.4310302734375
16,1734.5928955078125
17,1724.6253662109375
18,1716.7835693359375
19,1701.78662109375
20,1695.0833740234375
21,1690.59814453125
22,1686.900390625
23,1670.761474609375
24,1668.954345703125
25,1662.6910400390625
26,1652.7261962890625
27,1652.0269775390625
28,1641.22802734375
29,1649.8052978515625
30,1638.5211181640625
31,1571.780029296875
32,1569.22119140625
33,1566.6253662109375
