epoch,loss
0,3292.03955078125
1,2357.966552734375
2,2002.6600341796875
3,1771.935302734375
4,1615.17919921875
5,1505.77001953125
6,1428.5126953125
7,1371.8734130859375
8,1328.225830078125
9,1295.398681640625
10,1268.1201171875
11,1249.4876708984375
12,1227.228759765625
13,1214.8685302734375
14,1197.3282470703125
15,1184.6961669921875
16,1172.3555908203125
17,1160.6102294921875
18,1152.723876953125
19,1148.8338623046875
20,1136.884765625
21,1134.1104736328125
22,1125.068115234375
23,1116.8604736328125
24,1114.9549560546875
