epoch,loss
0,2510.330322265625
1,1769.38671875
2,1510.9620361328125
3,1356.845947265625
4,1251.4188232421875
5,1184.3189697265625
6,1127.4730224609375
7,1085.8973388671875
8,1057.2762451171875
9,1032.638671875
10,1007.9949951171875
11,994.736083984375
12,979.9375
13,968.3172607421875
14,956.331298828125
15,945.7647094726562
16,937.2454833984375
17,928.8654174804688
18,924.4434814453125
19,917.2262573242188
20,908.9796142578125
21,906.5274658203125
22,900.573974609375
23,895.7176513671875
24,892.5114135742188
