epoch,loss
0,497.2153015136719
1,475.30291748046875
2,469.24383544921875
3,465.01849365234375
4,459.5662841796875
5,456.9497985839844
6,453.9139404296875
7,450.6436767578125
8,448.7460021972656
9,446.6717224121094
10,444.8890075683594
11,442.6003112792969
12,442.5069885253906
13,440.15850830078125
14,439.3017272949219
15,437.6768798828125
16,435.5502014160156
17,436.2604675292969
18,433.4811706542969
19,434.1992492675781
20,431.948974609375
21,428.9269714355469
22,427.8009033203125
23,426.87603759765625
24,426.88751220703125
25,424.65863037109375
26,423.8322448730469
27,424.3742980957031
28,423.32501220703125
29,422.3798522949219
30,420.68182373046875
31,418.15130615234375
32,415.7646179199219
33,415.7156982421875
34,415.4581604003906
35,414.5135803222656
36,413.7205505371094
37,412.4253234863281
38,412.6810607910156
39,411.9554443359375
40,410.6324768066406
41,407.7198181152344
42,405.6253967285156
43,405.1947937011719
44,404.04541015625
45,404.3451843261719
46,403.7500915527344
47,403.45184326171875
48,401.9759521484375
49,402.446044921875
50,402.2066345214844
51,399.5182189941406
52,399.04339599609375
53,399.0190734863281
54,398.39459228515625
55,397.6981201171875
56,399.091064453125
57,397.5039978027344
58,396.67120361328125
59,397.67657470703125
60,397.6899108886719
61,394.9003601074219
62,397.50390625
63,395.3957824707031
64,395.7795715332031
65,395.8703308105469
66,395.2454833984375
67,395.35430908203125
68,395.1366882324219
69,394.7843322753906
70,394.36407470703125
71,394.30096435546875
72,393.84747314453125
73,394.6269226074219
74,393.0535583496094
75,393.64959716796875
76,393.66571044921875
77,392.59161376953125
78,391.691650390625
79,393.9345703125
