epoch,loss
0,3222.21728515625
1,2541.91064453125
2,2324.613037109375
3,2166.337890625
4,2036.8516845703125
5,1933.7694091796875
6,1861.932373046875
7,1800.8458251953125
8,1749.5531005859375
9,1715.3778076171875
10,1685.58203125
11,1662.46435546875
12,1643.8843994140625
13,1620.412353515625
14,1606.208984375
15,1596.0062255859375
16,1581.89599609375
17,1569.6075439453125
18,1560.42529296875
19,1551.907958984375
20,1541.3101806640625
21,1505.562255859375
22,1501.0654296875
23,1497.2493896484375
24,1494.801513671875
25,1485.7666015625
26,1483.1829833984375
27,1479.0213623046875
28,1477.535888671875
29,1472.4771728515625
30,1470.670654296875
31,1440.4752197265625
32,1440.7237548828125
33,1436.3135986328125
34,1435.8062744140625
35,1431.4786376953125
36,1431.0899658203125
37,1428.4761962890625
38,1426.66357421875
39,1425.279541015625
40,1425.581298828125
41,1397.8409423828125
42,1397.3685302734375
43,1394.2607421875
44,1394.33154296875
45,1392.712890625
46,1392.804443359375
47,1392.4033203125
48,1388.481689453125
49,1388.8433837890625
50,1391.45263671875
51,1378.9542236328125
52,1375.8502197265625
53,1378.2791748046875
54,1376.770263671875
55,1376.462890625
56,1375.27685546875
57,1374.5462646484375
58,1373.4232177734375
59,1374.6939697265625
60,1373.3616943359375
61,1371.502685546875
62,1372.651123046875
63,1373.423583984375
64,1373.32080078125
65,1369.6392822265625
66,1371.79150390625
67,1370.9150390625
68,1370.0291748046875
69,1370.284423828125
70,1369.06884765625
71,1369.833740234375
72,1369.36767578125
73,1367.863525390625
74,1369.199951171875
75,1368.5770263671875
76,1366.007080078125
77,1369.3291015625
78,1365.8760986328125
79,1364.393798828125
