epoch,loss
0,459.6459655761719
1,438.02655029296875
2,432.8553161621094
3,429.21649169921875
4,426.6297607421875
5,424.19598388671875
6,419.7213134765625
7,417.22802734375
8,414.978759765625
9,414.0646667480469
10,412.0892333984375
11,409.34857177734375
12,410.0421447753906
13,408.1925354003906
14,407.219482421875
15,404.472412109375
16,405.27996826171875
17,403.662353515625
18,401.67034912109375
19,403.94036865234375
20,400.3548583984375
21,398.0742492675781
22,396.50482177734375
23,396.224853515625
24,395.1943054199219
25,394.5594787597656
26,392.9674377441406
27,393.6769104003906
28,391.75811767578125
29,390.50030517578125
30,391.73895263671875
31,387.0707702636719
32,386.32281494140625
33,385.41925048828125
34,383.4215393066406
35,385.0213623046875
36,382.77410888671875
37,383.14501953125
38,381.8843078613281
39,380.5992431640625
40,381.81890869140625
41,376.0965881347656
42,376.37847900390625
43,374.3421630859375
44,373.70611572265625
45,374.3688659667969
46,373.5082092285156
47,372.9574279785156
48,373.15545654296875
49,371.8588562011719
50,372.2534484863281
51,368.829345703125
52,368.4590759277344
53,369.4970703125
54,368.37249755859375
55,367.3511047363281
56,367.8290710449219
57,367.31756591796875
58,367.5995788574219
59,366.95208740234375
60,366.697998046875
61,366.1424560546875
62,366.81524658203125
63,365.4553527832031
64,365.00079345703125
65,365.5897216796875
66,365.0139465332031
67,365.6318664550781
68,364.1708679199219
69,363.58013916015625
70,364.4114990234375
71,364.3424987792969
72,362.35845947265625
73,365.118408203125
74,363.1006774902344
75,362.1357727050781
76,363.8180847167969
77,362.018310546875
78,362.98297119140625
79,362.0361633300781
