epoch,loss
0,3433.291259765625
1,2758.73046875
2,2560.2265625
3,2422.217041015625
4,2317.7900390625
5,2234.74560546875
6,2161.583251953125
7,2097.34228515625
8,2064.005615234375
9,2023.0467529296875
10,1987.426513671875
11,1968.5560302734375
12,1942.1317138671875
13,1930.1856689453125
14,1912.5357666015625
15,1891.137939453125
16,1886.8292236328125
17,1861.290283203125
18,1863.5166015625
19,1844.5052490234375
20,1845.4664306640625
21,1805.18505859375
22,1803.2083740234375
23,1797.1446533203125
24,1786.693115234375
25,1789.3291015625
26,1775.7535400390625
27,1778.635009765625
28,1768.5623779296875
29,1768.471435546875
30,1766.5166015625
31,1733.4608154296875
32,1736.231201171875
33,1731.9559326171875
34,1728.4283447265625
35,1723.533935546875
36,1723.906005859375
37,1721.8173828125
38,1725.171875
39,1717.757080078125
40,1714.2938232421875
41,1693.7705078125
42,1687.5838623046875
43,1687.6143798828125
44,1685.34130859375
45,1686.21337890625
46,1684.9462890625
47,1686.040283203125
48,1683.1480712890625
49,1678.752685546875
50,1683.402099609375
51,1668.57373046875
52,1672.08251953125
53,1667.4093017578125
54,1665.6571044921875
55,1668.177978515625
56,1667.35693359375
57,1666.476318359375
58,1665.6956787109375
59,1661.8155517578125
60,1667.109375
61,1664.515625
62,1664.87353515625
63,1660.9249267578125
64,1663.4344482421875
65,1659.708740234375
66,1665.6824951171875
67,1660.064697265625
68,1660.779541015625
69,1661.9410400390625
70,1655.0687255859375
71,1661.79638671875
72,1657.5421142578125
73,1659.194580078125
74,1656.5712890625
75,1657.2176513671875
76,1659.115478515625
77,1658.0517578125
78,1655.076416015625
79,1653.5264892578125
