epoch,loss
0,3278.861083984375
1,2664.41796875
2,2495.942138671875
3,2368.427978515625
4,2277.321533203125
5,2189.89501953125
6,2134.839599609375
7,2074.889404296875
8,2038.197265625
9,2002.964111328125
10,1967.2576904296875
11,1940.11572265625
12,1923.82470703125
13,1906.410400390625
14,1887.7508544921875
15,1875.28271484375
16,1862.790283203125
17,1843.4305419921875
18,1839.438232421875
19,1831.1710205078125
20,1821.0570068359375
21,1814.5684814453125
22,1802.467041015625
23,1796.762939453125
24,1795.5980224609375
25,1785.9454345703125
26,1781.132568359375
27,1777.2413330078125
28,1764.892578125
29,1765.3060302734375
30,1761.993896484375
31,1691.8404541015625
32,1691.655517578125
33,1683.284912109375
34,1685.23681640625
35,1676.4578857421875
36,1685.590087890625
37,1677.0498046875
38,1677.7529296875
39,1674.8226318359375
40,1674.1871337890625
41,1674.223876953125
42,1671.73583984375
43,1667.19775390625
44,1673.1435546875
45,1669.3065185546875
46,1662.8603515625
47,1671.1226806640625
48,1661.815185546875
49,1666.3914794921875
50,1660.0474853515625
51,1667.5458984375
52,1659.5106201171875
53,1662.7235107421875
54,1662.3804931640625
55,1657.2088623046875
56,1658.312744140625
57,1661.2454833984375
58,1655.744140625
59,1657.7928466796875
60,1655.7410888671875
61,1648.8670654296875
62,1644.1751708984375
63,1646.304443359375
64,1647.39990234375
65,1643.092041015625
66,1642.39599609375
67,1642.478515625
68,1648.0450439453125
69,1638.0389404296875
70,1639.5736083984375
71,1644.4188232421875
72,1641.0811767578125
73,1642.5302734375
74,1641.43017578125
75,1640.248046875
76,1643.073974609375
77,1636.7269287109375
78,1643.322021484375
79,1637.0439453125
