epoch,loss
0,4174.96630859375
1,3328.123291015625
2,3054.24951171875
3,2858.955078125
4,2711.748779296875
5,2575.81103515625
6,2471.1748046875
7,2391.44775390625
8,2336.650390625
9,2286.249267578125
10,2246.666259765625
11,2217.92431640625
12,2188.86669921875
13,2162.06884765625
14,2145.195068359375
15,2132.01953125
16,2113.952392578125
17,2103.9912109375
18,2085.746337890625
19,2082.192626953125
20,2068.2109375
21,2058.55908203125
22,2053.8212890625
23,2043.3936767578125
24,2039.486083984375
25,2032.18017578125
26,2021.287109375
27,2017.585205078125
28,2018.80712890625
29,2006.0054931640625
30,2005.6077880859375
31,1928.641845703125
32,1918.4864501953125
33,1915.134765625
34,1914.004150390625
35,1910.547607421875
36,1911.20556640625
37,1908.3819580078125
38,1907.7030029296875
39,1906.1373291015625
40,1902.394287109375
41,1904.0535888671875
42,1901.7825927734375
43,1903.2777099609375
44,1900.8245849609375
45,1900.19921875
46,1895.5567626953125
47,1901.308837890625
48,1895.552978515625
49,1896.843505859375
50,1894.924560546875
51,1896.2034912109375
52,1893.0240478515625
53,1891.186279296875
54,1896.1539306640625
55,1890.593994140625
56,1891.9306640625
57,1889.6043701171875
58,1889.860107421875
59,1887.6307373046875
