epoch,loss
0,2763.691650390625
1,2238.106201171875
2,2039.0697021484375
3,1914.24560546875
4,1816.4549560546875
5,1734.636474609375
6,1676.28564453125
7,1631.028076171875
8,1593.907958984375
9,1566.6683349609375
10,1540.227783203125
11,1514.24560546875
12,1505.4130859375
13,1484.105224609375
14,1469.4759521484375
15,1452.7664794921875
16,1445.6256103515625
17,1435.8790283203125
18,1425.3687744140625
19,1417.261474609375
20,1407.8323974609375
21,1402.7889404296875
22,1395.4566650390625
23,1389.054931640625
24,1380.7674560546875
25,1378.7216796875
26,1371.48095703125
27,1367.153564453125
28,1362.1287841796875
29,1357.10302734375
