epoch,loss
0,4034.68798828125
1,3259.28466796875
2,2996.63037109375
3,2800.061767578125
4,2656.066650390625
5,2535.113525390625
6,2448.07275390625
7,2379.513916015625
8,2327.270263671875
9,2290.4052734375
10,2252.2626953125
11,2225.619140625
12,2202.9013671875
13,2178.86376953125
14,2164.742919921875
15,2146.1083984375
16,2130.759521484375
17,2124.08203125
18,2111.987060546875
19,2098.7021484375
20,2088.258544921875
21,2083.621337890625
22,2071.23974609375
23,2064.827880859375
24,2058.75048828125
25,2054.713134765625
26,2044.7945556640625
27,2041.393798828125
28,2032.088134765625
29,2031.8707275390625
